Feature,Importance
OverallSatisfaction,0.08235914217550336
TotalWorkingYears,0.08071363143634493
Age,0.08006423902950258
YearsAtCompany,0.05776853028032504
DistanceFromHome,0.054806568536915096
YearsWithCurrManager,0.04590584834080878
NumCompaniesWorked,0.04406639185889708
OverTime_Yes,0.040068981366943875
PercentSalaryHike,0.03989604782506514
OverTime_No,0.03813181870055382
StockOptionLevel,0.03688449225015726
PromotionRatio,0.0346055445747944
YearsInCurrentRole,0.034583538872566225
JobLevel,0.032719001167420325
TrainingTimesLastYear,0.025784384427436993
YearsSinceLastPromotion,0.022553316905285423
Education,0.0220080662609387
BusinessTravel_Travel_Frequently,0.01893228812715776
MaritalStatus_Single,0.0185490713767284
Income_Low,0.015849739900217433
JobRole_Laboratory Technician,0.013516350970970294
JobRole_Research Scientist,0.011622593296968329
JobRole_Sales Representative,0.009735254137606125
Department_Research & Development,0.00950430266525966
MaritalStatus_Married,0.009185503094829007
Department_Sales,0.008784635126738041
EducationField_Medical,0.008507699836208282
JobRole_Sales Executive,0.00819716147740497
EducationField_Technical Degree,0.008169830675406154
Gender_Female,0.007541045362597597
EducationField_Marketing,0.007217346690240351
Gender_Male,0.00714090193942792
BusinessTravel_Travel_Rarely,0.006846125349145294
Income_Medium,0.006734175268398164
MaritalStatus_Divorced,0.0063236082569981195
Income_High,0.0057891439577687515
EducationField_Life Sciences,0.005560133491331471
PerformanceRating,0.005389596526071767
EducationField_Human Resources,0.0051748755959870295
BusinessTravel_Non-Travel,0.004169781671430675
JobRole_Human Resources,0.00354429249783866
JobRole_Healthcare Representative,0.0032050211933927265
Department_Human Resources,0.0030878923187214156
EducationField_Other,0.002984335515521644
JobRole_Manager,0.0025944849389603055
JobRole_Manufacturing Director,0.0025422193091914082
JobRole_Research Director,0.0006810454220231631
